caption,video_id,sent_len
someone is burning two cameras,D1tTBncIsm8_841_848.avi,5
a person uses a blowtorch on two cameras,D1tTBncIsm8_841_848.avi,8
clouds are quickly floating past a building,Z19zFlPah-o_6_11.avi,7
clouds are moving across the sky,Z19zFlPah-o_6_11.avi,6
clouds are moving in sky,Z19zFlPah-o_6_11.avi,5
some clouds move across a blue sky,Z19zFlPah-o_6_11.avi,7
text streams across a shot of a building's roof,Z19zFlPah-o_6_11.avi,9
clouds are floating by,Z19zFlPah-o_6_11.avi,4
clouds are moving past the top of roofs,Z19zFlPah-o_6_11.avi,8
the clouds rolled by the buildings,Z19zFlPah-o_6_11.avi,6
the clouds are moving,Z19zFlPah-o_6_11.avi,4
clouds are moving through the sky above a church,Z19zFlPah-o_6_11.avi,9
the clouds roll by the building,Z19zFlPah-o_6_11.avi,6
a older jewish man slowly speaking,drsPD5fI1IA_170_180.avi,6
a bearded man sits and talks,drsPD5fI1IA_170_180.avi,6
a man is speaking towards a camera,drsPD5fI1IA_170_180.avi,7
a man is speaking,drsPD5fI1IA_170_180.avi,4
a man is talking to someone off-camera,drsPD5fI1IA_170_180.avi,7
a man is talking,drsPD5fI1IA_170_180.avi,4
a man is talking,drsPD5fI1IA_170_180.avi,4
a man is talking,drsPD5fI1IA_170_180.avi,4
a man with a beard is talking,drsPD5fI1IA_170_180.avi,7
a rabbi is speaking,drsPD5fI1IA_170_180.avi,4
a rabbi is talking,drsPD5fI1IA_170_180.avi,4
a reverent is speaking,drsPD5fI1IA_170_180.avi,4
an elderly man is talking,drsPD5fI1IA_170_180.avi,5
an old man speaks into a camera,drsPD5fI1IA_170_180.avi,7
the jewish man talked into the camera,drsPD5fI1IA_170_180.avi,7
the jewish man talked to the camera,drsPD5fI1IA_170_180.avi,7
the man is talking,drsPD5fI1IA_170_180.avi,4
a woman peels an apple,6t0BpjwYKco_71_76.avi,5
a woman is peeling an apple,6t0BpjwYKco_71_76.avi,6
a woman is peeling an apple,6t0BpjwYKco_71_76.avi,6
a woman is removing the peel from an apple,6t0BpjwYKco_71_76.avi,9
a woman is peeling a apple,6t0BpjwYKco_71_76.avi,6
a woman is peeling an apple,6t0BpjwYKco_71_76.avi,6
a woman is peeling an apple,6t0BpjwYKco_71_76.avi,6
a woman peels an apple,6t0BpjwYKco_71_76.avi,5
a woman is peeling an apple,6t0BpjwYKco_71_76.avi,6
a woman is peeling an apple,6t0BpjwYKco_71_76.avi,6
a woman is peeling an apple,6t0BpjwYKco_71_76.avi,6
a woman peels an apple in the kitchen,6t0BpjwYKco_71_76.avi,8
the lady took the wax coating off the cheese,6t0BpjwYKco_71_76.avi,9
the woman is peeling an apple,6t0BpjwYKco_71_76.avi,6
a woman cuts up vegetables,6t0BpjwYKco_71_76.avi,5
the lady peeled an apple,6t0BpjwYKco_71_76.avi,5
a man is performing yoga,Hu9Sq1RvuoA_19_62.avi,5
a man does yoga exercises,Hu9Sq1RvuoA_19_62.avi,5
a man is doing some yoga stretching exercises,Hu9Sq1RvuoA_19_62.avi,8
a man is doing yoga on top a rock,Hu9Sq1RvuoA_19_62.avi,9
a man is doing yoga,Hu9Sq1RvuoA_19_62.avi,5
a man is doing yoga,Hu9Sq1RvuoA_19_62.avi,5
a man is doing yoga,Hu9Sq1RvuoA_19_62.avi,5
a man is doing yoga,Hu9Sq1RvuoA_19_62.avi,5
a man is stretching,Hu9Sq1RvuoA_19_62.avi,4
a man performing yoga,Hu9Sq1RvuoA_19_62.avi,4
a man stretches on a mountain top,Hu9Sq1RvuoA_19_62.avi,7
a man stretches,Hu9Sq1RvuoA_19_62.avi,3
the man did tai chi stretching exercises,Hu9Sq1RvuoA_19_62.avi,7
the man is doing yoga,Hu9Sq1RvuoA_19_62.avi,5
the man stretched outside,Hu9Sq1RvuoA_19_62.avi,4
a man in a suit is doing one-handed push-ups,hcCLIzzB1jQ_1_7.avi,9
a man is doing push ups,hcCLIzzB1jQ_1_7.avi,6
a man is doing exercise between people,hcCLIzzB1jQ_1_7.avi,7
a man does push-ups with one arm,hcCLIzzB1jQ_1_7.avi,7
a man is doing one handed push ups,hcCLIzzB1jQ_1_7.avi,8
a man is doing push-ups with one hand,hcCLIzzB1jQ_1_7.avi,8
a man is doing one-armed push ups,hcCLIzzB1jQ_1_7.avi,7
a man does one arm pushups,hcCLIzzB1jQ_1_7.avi,6
a man is doing one armed push-ups,hcCLIzzB1jQ_1_7.avi,7
a man is doing a push up,hcCLIzzB1jQ_1_7.avi,7
a man is doing a one arm push up,hcCLIzzB1jQ_1_7.avi,9
the man did pushups with one hand,hcCLIzzB1jQ_1_7.avi,7
the man is doing push-ups with one hand,hcCLIzzB1jQ_1_7.avi,8
a person does one-armed push-up,hcCLIzzB1jQ_1_7.avi,5
a man does push-ups,hcCLIzzB1jQ_1_7.avi,4
the man did one-armed push-ups,hcCLIzzB1jQ_1_7.avi,5
a person pours water into a pot,UXs3eq68ZjE_246_250.avi,7
a person pours water into a bowl,UXs3eq68ZjE_246_250.avi,7
a person is pouring water into a pan,UXs3eq68ZjE_246_250.avi,8
a chef pours water into a pot,UXs3eq68ZjE_246_250.avi,7
someone is adding water to a pot,UXs3eq68ZjE_246_250.avi,7
a man is adding water to pan,UXs3eq68ZjE_246_250.avi,7
a man is pouring water into a pan,UXs3eq68ZjE_246_250.avi,8
someone is pouring water into a pan,UXs3eq68ZjE_246_250.avi,7
a person adds water to a pot,UXs3eq68ZjE_246_250.avi,7
a person is pouring water into a pot,UXs3eq68ZjE_246_250.avi,8
the man added water to the pot,UXs3eq68ZjE_246_250.avi,7
the man poured water into the pot,UXs3eq68ZjE_246_250.avi,7
a person pours some water into a pot,UXs3eq68ZjE_246_250.avi,8
someone poured water into a pot,UXs3eq68ZjE_246_250.avi,6
a bird is dialing a phone,Ce7equ9zCxk_4_19.avi,6
a parakeet is pecking telephone buttons with its beak,Ce7equ9zCxk_4_19.avi,9
a bird is dialing a phone,Ce7equ9zCxk_4_19.avi,6
a bird is pecking at numbers on a telephone,Ce7equ9zCxk_4_19.avi,9
a parrot is making a phone call,Ce7equ9zCxk_4_19.avi,7
a parakeet is making a phone call,Ce7equ9zCxk_4_19.avi,7
a bird is dialing a phone,Ce7equ9zCxk_4_19.avi,6
a bird is pecking at a telephone,Ce7equ9zCxk_4_19.avi,7
the bird is playing with the telephone,Ce7equ9zCxk_4_19.avi,7
a parakeet is using a phone,Ce7equ9zCxk_4_19.avi,6
a bird dials the phone,Ce7equ9zCxk_4_19.avi,5
a large dog gets something out of a refrigerator,IWhrWLOAin0_1_4.avi,9
a dog closes a refrigerator door,IWhrWLOAin0_1_4.avi,6
a dog grabs food from a fridge,IWhrWLOAin0_1_4.avi,7
a dog is eating food out of the refrigerator,IWhrWLOAin0_1_4.avi,9
a dog is opening a fridge,IWhrWLOAin0_1_4.avi,6
a dog is taking something from a refrigerator,IWhrWLOAin0_1_4.avi,8
a dog is stealing food from a refrigerator,IWhrWLOAin0_1_4.avi,8
a dog walks by a refriderator,IWhrWLOAin0_1_4.avi,6
a dog is grabbing something from the refrigerator,IWhrWLOAin0_1_4.avi,8
the dog took something out of the refrigerator,IWhrWLOAin0_1_4.avi,8
the dog opened the refrigerator,IWhrWLOAin0_1_4.avi,5
a dog opens the refrigerator,IWhrWLOAin0_1_4.avi,5
a man is erasing a chalk board,HVR7KpItLfA_62_70.avi,7
a man erases a chalk board,HVR7KpItLfA_62_70.avi,6
a man is erasing something from a chalkboard,HVR7KpItLfA_62_70.avi,8
a man is wiping off a chalkboard,HVR7KpItLfA_62_70.avi,7
a man is erasing a chalkboard,HVR7KpItLfA_62_70.avi,6
a man is erasing a chalkboard with an eraser,HVR7KpItLfA_62_70.avi,9
a man is erasing a chalkboard,HVR7KpItLfA_62_70.avi,6
a man erases writing on a chalkboard,HVR7KpItLfA_62_70.avi,7
a man is erasing a blackboard,HVR7KpItLfA_62_70.avi,6
a man is erasing a chalkboard,HVR7KpItLfA_62_70.avi,6
a man is erasing a chalk board,HVR7KpItLfA_62_70.avi,7
a man is erasing the chalkboard,HVR7KpItLfA_62_70.avi,6
the man is erasing the chalk board,HVR7KpItLfA_62_70.avi,7
a man is erasing a chalk board,HVR7KpItLfA_62_70.avi,7
a man erases a chalkboard,HVR7KpItLfA_62_70.avi,5
the man erased the work on the board,HVR7KpItLfA_62_70.avi,8
baby pandas are crawling on a bench,r2oI9Y-3wAo_21_28.avi,7
several pandas are playing on a bench swing,r2oI9Y-3wAo_21_28.avi,8
pandas are playing,r2oI9Y-3wAo_21_28.avi,3
pandas are playing on a bench,r2oI9Y-3wAo_21_28.avi,6
baby pandas are playing,r2oI9Y-3wAo_21_28.avi,4
baby pandas are playing on a bench,r2oI9Y-3wAo_21_28.avi,7
a bunch of pandas play on a bench,r2oI9Y-3wAo_21_28.avi,8
some panda babies are climbing on a wooden frame,r2oI9Y-3wAo_21_28.avi,9
panda cubs are playing in the snow,r2oI9Y-3wAo_21_28.avi,7
panda bears playing on a bench swing,r2oI9Y-3wAo_21_28.avi,7
panda's play on a swing,r2oI9Y-3wAo_21_28.avi,5
several panda bears are climbing on a bench,r2oI9Y-3wAo_21_28.avi,8
the panda bears played together in the snow,r2oI9Y-3wAo_21_28.avi,8
the pandas are playing on the swing,r2oI9Y-3wAo_21_28.avi,7
four pandas play on a bench,r2oI9Y-3wAo_21_28.avi,6
a woman is wearing headphones,E61HNXjgyqA_22_32.avi,5
a woman is singing,E61HNXjgyqA_22_32.avi,4
a woman is singing a song,E61HNXjgyqA_22_32.avi,6
a woman in headphones is singing into a microphone,E61HNXjgyqA_22_32.avi,9
a woman is singing,E61HNXjgyqA_22_32.avi,4
a woman is singing,E61HNXjgyqA_22_32.avi,4
a woman is singing,E61HNXjgyqA_22_32.avi,4
a girl is singing,E61HNXjgyqA_22_32.avi,4
a woman is wearing headphones,E61HNXjgyqA_22_32.avi,5
the girl sang into the microphone in the studio,E61HNXjgyqA_22_32.avi,9
the woman is singing,E61HNXjgyqA_22_32.avi,4
a woman looks in the mirror,E61HNXjgyqA_22_32.avi,6
the lad sang in the recording studio,E61HNXjgyqA_22_32.avi,7
a man bags produce and talks to a group,_o1UXSxTjfo_68_80.avi,9
a man collects money from a group of people,_o1UXSxTjfo_68_80.avi,9
a man is selling goods on the street,_o1UXSxTjfo_68_80.avi,8
a man is selling items to a crowd,_o1UXSxTjfo_68_80.avi,8
a man is selling items,_o1UXSxTjfo_68_80.avi,5
a man is selling on a street,_o1UXSxTjfo_68_80.avi,7
a man is selling things on the street,_o1UXSxTjfo_68_80.avi,8
a man is speaking,_o1UXSxTjfo_68_80.avi,4
a street hawker is selling his goods,_o1UXSxTjfo_68_80.avi,7
people are talking,_o1UXSxTjfo_68_80.avi,3
several people are purchasing items from a man,_o1UXSxTjfo_68_80.avi,8
several people are purchasing something from a talking man,_o1UXSxTjfo_68_80.avi,9
some people conduct a drug deal,_o1UXSxTjfo_68_80.avi,6
the man bagged the people's things,_o1UXSxTjfo_68_80.avi,6
the man bagged things for the people,_o1UXSxTjfo_68_80.avi,7
the man is selling his product,_o1UXSxTjfo_68_80.avi,6
a person is chopping garlic cloves,m1NR0uNNs5Y_192_198.avi,6
a woman is slicing garlics,m1NR0uNNs5Y_192_198.avi,5
a chef is dicing a garlic clove,m1NR0uNNs5Y_192_198.avi,7
someone is chopping garlic,m1NR0uNNs5Y_192_198.avi,4
a woman is slicing garlic,m1NR0uNNs5Y_192_198.avi,5
a woman is chopping a garlic clove,m1NR0uNNs5Y_192_198.avi,7
a woman is chopping garlic with a large knife,m1NR0uNNs5Y_192_198.avi,9
a person with a knife is chopping garlic,m1NR0uNNs5Y_192_198.avi,8
a person dices mushrooms with a knife,m1NR0uNNs5Y_192_198.avi,7
a woman is cutting garlic,m1NR0uNNs5Y_192_198.avi,5
a woman is chopping garlic,m1NR0uNNs5Y_192_198.avi,5
a chef is chopping garlic,m1NR0uNNs5Y_192_198.avi,5
the lady crushed the garlic,m1NR0uNNs5Y_192_198.avi,5
the man is dicing garlic,m1NR0uNNs5Y_192_198.avi,5
a woman is mincing garlic cloves,m1NR0uNNs5Y_192_198.avi,6
a man cuts up onions,m1NR0uNNs5Y_192_198.avi,5
the lady chopped up the garlic cloves,m1NR0uNNs5Y_192_198.avi,7
a baby picks up a phone,kJY5BRCNAs4_3_6.avi,6
a baby girl is hanging up a phone,kJY5BRCNAs4_3_6.avi,8
a baby hangs up a phone,kJY5BRCNAs4_3_6.avi,6
a baby is hanging up a phone,kJY5BRCNAs4_3_6.avi,7
a baby is speaking on telephone,kJY5BRCNAs4_3_6.avi,6
a baby is talking on a phone,kJY5BRCNAs4_3_6.avi,7
a baby talks on the phone,kJY5BRCNAs4_3_6.avi,6
a little girl hangs up a phone,kJY5BRCNAs4_3_6.avi,7
a little girl is hanging up a phone,kJY5BRCNAs4_3_6.avi,8
a toddler puts down the telephone,kJY5BRCNAs4_3_6.avi,6
a young girl is hanging up the phone,kJY5BRCNAs4_3_6.avi,8
"after talking on the phone, a baby hangs up",kJY5BRCNAs4_3_6.avi,9
the baby is talking on the phone,kJY5BRCNAs4_3_6.avi,7
the little girl hung up the telephone,kJY5BRCNAs4_3_6.avi,7
the little girl hung up the telephone,kJY5BRCNAs4_3_6.avi,7
a slow loris is eating,QqYWLR47eLI_10_18.avi,5
a slow loris is eating,QqYWLR47eLI_10_18.avi,5
a sloth is eating food,QqYWLR47eLI_10_18.avi,5
a animal is eating,QqYWLR47eLI_10_18.avi,4
a slow loris is eating a strawberry,QqYWLR47eLI_10_18.avi,7
a slow loris is eating a piece of food,QqYWLR47eLI_10_18.avi,9
a small animal is eating something,QqYWLR47eLI_10_18.avi,6
a monkey is eating something,QqYWLR47eLI_10_18.avi,5
an animal is eating,QqYWLR47eLI_10_18.avi,4
a lemur is eating some fruit,QqYWLR47eLI_10_18.avi,6
the loris is eating,QqYWLR47eLI_10_18.avi,4
a lemur eats some food,QqYWLR47eLI_10_18.avi,5
the mammal sat in the chair eating a fruit,QqYWLR47eLI_10_18.avi,9
a man is playing a flute in a band,W8l_ezoU8Lc_76_86.avi,9
a man is playing a flute into a microphone,W8l_ezoU8Lc_76_86.avi,9
a man is playing a flute,W8l_ezoU8Lc_76_86.avi,6
a man is playing a flute,W8l_ezoU8Lc_76_86.avi,6
a man is playing a flute,W8l_ezoU8Lc_76_86.avi,6
a man is playing a flute,W8l_ezoU8Lc_76_86.avi,6
a man is playing a flute,W8l_ezoU8Lc_76_86.avi,6
a man is playing a flute,W8l_ezoU8Lc_76_86.avi,6
a man is playing a wind instrument,W8l_ezoU8Lc_76_86.avi,7
a man is playing a wooden flute,W8l_ezoU8Lc_76_86.avi,7
a man is playing an instrument,W8l_ezoU8Lc_76_86.avi,6
a man is playing flute,W8l_ezoU8Lc_76_86.avi,5
a man is playing the flute,W8l_ezoU8Lc_76_86.avi,6
a man plays a wind instrument,W8l_ezoU8Lc_76_86.avi,6
a man plays a wooden flute,W8l_ezoU8Lc_76_86.avi,6
a man plays a wooden flute,W8l_ezoU8Lc_76_86.avi,6
the man is playing with a wooden flute,W8l_ezoU8Lc_76_86.avi,8
the man played a wooden flute,W8l_ezoU8Lc_76_86.avi,6
the man played the wooden flute,W8l_ezoU8Lc_76_86.avi,6
a man is writing math equations on a board,s80J2dAUUyI_33_43.avi,9
a teacher is writing on a board,s80J2dAUUyI_33_43.avi,7
a man does math equations on a board,s80J2dAUUyI_33_43.avi,8
a man is writing on a white board,s80J2dAUUyI_33_43.avi,8
a man is doing math on board,s80J2dAUUyI_33_43.avi,7
a man is writing on a dry erase board,s80J2dAUUyI_33_43.avi,9
the teach put a math equation on the board,s80J2dAUUyI_33_43.avi,9
a teacher writes out formulas on a white board,s80J2dAUUyI_33_43.avi,9
a man writes math equations on a whiteboard,s80J2dAUUyI_33_43.avi,8
the teacher put a math equation on the board,s80J2dAUUyI_33_43.avi,9
a train rides over a bridge,-mAoVOhKy0c_4_9.avi,6
a train rides on tracks,-mAoVOhKy0c_4_9.avi,5
a train is passing over the bridge,-mAoVOhKy0c_4_9.avi,7
a train quickly crosses a bridge,-mAoVOhKy0c_4_9.avi,6
a train is crossing a railroad track,-mAoVOhKy0c_4_9.avi,7
a train goes across an overhead bridge,-mAoVOhKy0c_4_9.avi,7
a train goes across a bridge,-mAoVOhKy0c_4_9.avi,6
a train is crossing a bridge,-mAoVOhKy0c_4_9.avi,6
a train is going by,-mAoVOhKy0c_4_9.avi,5
a subway train is passing by,-mAoVOhKy0c_4_9.avi,6
a high speed train zooms by,-mAoVOhKy0c_4_9.avi,6
the train crossed the bridge,-mAoVOhKy0c_4_9.avi,5
the train crossed the bridge,-mAoVOhKy0c_4_9.avi,5
a bullet train crosses a tressel,-mAoVOhKy0c_4_9.avi,6
the yellow train crossed the bridge,-mAoVOhKy0c_4_9.avi,6
a person is wrapping tofu,IhwPQL9dFYc_24_30.avi,5
a woman is wrapping tofu,IhwPQL9dFYc_24_30.avi,5
a person is covering a butter by a paper,IhwPQL9dFYc_24_30.avi,9
a woman is wrapping some food,IhwPQL9dFYc_24_30.avi,6
a woman is wrapping a piece of tofu,IhwPQL9dFYc_24_30.avi,8
"a woman is wrapping tofu, with a paper towel",IhwPQL9dFYc_24_30.avi,9
a woman is wrapping tofu in parchment,IhwPQL9dFYc_24_30.avi,7
a woman is wrapping tofu in paper,IhwPQL9dFYc_24_30.avi,7
the woman wrapped the tofu block,IhwPQL9dFYc_24_30.avi,6
a woman is wrapping a block of tofu,IhwPQL9dFYc_24_30.avi,8
a person puts tofu into a pan,IhwPQL9dFYc_24_30.avi,7
tofu is wrapped in a cloth,IhwPQL9dFYc_24_30.avi,6
a person falls off while riding a dirt bike,nhm_APPwhWk_6_12.avi,9
someone fell off a motorcycle,nhm_APPwhWk_6_12.avi,5
a man doing a wheeling on his motorcycle crashes,nhm_APPwhWk_6_12.avi,9
a man wrecks on his motorcycle,nhm_APPwhWk_6_12.avi,6
a dirt bike wreck,nhm_APPwhWk_6_12.avi,4
a dirt bike rider falling out a dirt bike,nhm_APPwhWk_6_12.avi,9
the motorcylist fell off his bike,nhm_APPwhWk_6_12.avi,6
the rider fell off his motorbike,nhm_APPwhWk_6_12.avi,6
the man fell off his motorcycle,nhm_APPwhWk_6_12.avi,6
a three legged rottweiler walks outside,jcIrD7rNvTM_10_21.avi,6
a 3 legged dog walks through the grass,jcIrD7rNvTM_10_21.avi,8
a dog is walking in the grass,jcIrD7rNvTM_10_21.avi,7
a three legged dog is walking in the yard,jcIrD7rNvTM_10_21.avi,9
a three legged dog is walking through the grass,jcIrD7rNvTM_10_21.avi,9
a three legged dog is walking,jcIrD7rNvTM_10_21.avi,6
a three-legged dog is walking in grass,jcIrD7rNvTM_10_21.avi,7
a three-legged dog walks across a yard,jcIrD7rNvTM_10_21.avi,7
a three-legged dog walks across the grass,jcIrD7rNvTM_10_21.avi,7
a three-legged dog walks through the grass and stops,jcIrD7rNvTM_10_21.avi,9
the three legged dog walked in the yard,jcIrD7rNvTM_10_21.avi,8
the three-legged dog is walking,jcIrD7rNvTM_10_21.avi,5
the three-legged dog walked in the yard,jcIrD7rNvTM_10_21.avi,7
a bird is dancing on a chair,cJOZp2ZftCw_1_12.avi,7
a bird dances on the back of a chair,cJOZp2ZftCw_1_12.avi,9
a bird is bobbing up and down to music,cJOZp2ZftCw_1_12.avi,9
a bird is dancing on top of a chair,cJOZp2ZftCw_1_12.avi,9
a bird is dancing to music,cJOZp2ZftCw_1_12.avi,6
a bird is dancing,cJOZp2ZftCw_1_12.avi,4
a bird is dancing,cJOZp2ZftCw_1_12.avi,4
a bird is dancing,cJOZp2ZftCw_1_12.avi,4
a bird is dancing,cJOZp2ZftCw_1_12.avi,4
a cockatoo dances,cJOZp2ZftCw_1_12.avi,3
a parrot is dancing with music,cJOZp2ZftCw_1_12.avi,6
an uncaged bird dances to a song,cJOZp2ZftCw_1_12.avi,7
the bird danced on his perch,cJOZp2ZftCw_1_12.avi,6
the bird is dancing,cJOZp2ZftCw_1_12.avi,4
the white bird danced on the perch,cJOZp2ZftCw_1_12.avi,7
a woman cracks two eggs into a glass bowl,0lh_UWF9ZP4_71_77.avi,9
a woman cracks eggs into a bowl,0lh_UWF9ZP4_71_77.avi,7
a woman is cracking eggs,0lh_UWF9ZP4_71_77.avi,5
a woman cracked two eggs into a bowl,0lh_UWF9ZP4_71_77.avi,8
a woman is breaking eggs into a dish,0lh_UWF9ZP4_71_77.avi,8
a woman is cracking eggs into a bowl,0lh_UWF9ZP4_71_77.avi,8
a woman is cracking eggs,0lh_UWF9ZP4_71_77.avi,5
a woman cracks two eggs into a bowl,0lh_UWF9ZP4_71_77.avi,8
a woman is cracking some eggs,0lh_UWF9ZP4_71_77.avi,6
a woman is cracking eggs into a bowl,0lh_UWF9ZP4_71_77.avi,8
someone is cracking eggs into a bowl,0lh_UWF9ZP4_71_77.avi,7
a woman is cracking open eggs into a bowl,0lh_UWF9ZP4_71_77.avi,9
the woman is cracking eggs into the bowl,0lh_UWF9ZP4_71_77.avi,8
a woman breaks some eggs,0lh_UWF9ZP4_71_77.avi,5
the lady broke the eggs into a bowl,0lh_UWF9ZP4_71_77.avi,8
children are sliding,zv2RIbUsnSw_159_162.avi,3
children are sliding on plastic,zv2RIbUsnSw_159_162.avi,5
a girl is sliding,zv2RIbUsnSw_159_162.avi,4
children are sliding on black tarp,zv2RIbUsnSw_159_162.avi,6
two kids slide down a slip 'n slide,zv2RIbUsnSw_159_162.avi,8
two children are sliding,zv2RIbUsnSw_159_162.avi,4
some kids are going down a water slide,zv2RIbUsnSw_159_162.avi,8
two children are sliding down some plastic,zv2RIbUsnSw_159_162.avi,7
the kids are moving down the water slide,zv2RIbUsnSw_159_162.avi,8
kids slide down a water slide,zv2RIbUsnSw_159_162.avi,6
the kids slide down the wet plastic slide,zv2RIbUsnSw_159_162.avi,8
two women get out of a taxi,yd8jh9QYfEs_4_10.avi,7
women are leaving a cab,yd8jh9QYfEs_4_10.avi,5
women exit a taxi cab,yd8jh9QYfEs_4_10.avi,5
girls are coming out from the car,yd8jh9QYfEs_4_10.avi,7
women are exiting a taxi,yd8jh9QYfEs_4_10.avi,5
women are walking out of a car,yd8jh9QYfEs_4_10.avi,7
a group of girls are exiting a taxi,yd8jh9QYfEs_4_10.avi,8
women are leaving the backseat of a cab,yd8jh9QYfEs_4_10.avi,8
a group of women get out of a cab,yd8jh9QYfEs_4_10.avi,9
women are getting out of a taxi,yd8jh9QYfEs_4_10.avi,7
a video clip of rihanna leaving a taxi,yd8jh9QYfEs_4_10.avi,8
a woman gets out of a cab,yd8jh9QYfEs_4_10.avi,7
a woman gets out of a cab,yd8jh9QYfEs_4_10.avi,7
the girl got out of the taxi,yd8jh9QYfEs_4_10.avi,7
the women got out of the cab,yd8jh9QYfEs_4_10.avi,7
a woman gets out of a taxi,yd8jh9QYfEs_4_10.avi,7
the girl got out of the taxi,yd8jh9QYfEs_4_10.avi,7
a person preparing broccoli,PqSZ89FqpiY_65_75.avi,4
a man is putting broccoli into water,PqSZ89FqpiY_65_75.avi,7
a woman is cooking broccoli,PqSZ89FqpiY_65_75.avi,5
a woman places broccoli into a pan,PqSZ89FqpiY_65_75.avi,7
boiled broccoli is strained out of the pot,PqSZ89FqpiY_65_75.avi,8
broccoli is being cooked,PqSZ89FqpiY_65_75.avi,4
broccoli is being cooked,PqSZ89FqpiY_65_75.avi,4
broccoli is being cooled in water,PqSZ89FqpiY_65_75.avi,6
someone cooked broccoli in hot water,PqSZ89FqpiY_65_75.avi,6
someone cooked broccoli in hot water,PqSZ89FqpiY_65_75.avi,6
someone is boiling broccoli florets,PqSZ89FqpiY_65_75.avi,5
a baby boy is playing with a cat,Kxa0mnDj0bs_15_20.avi,8
a baby is holding onto a chair,Kxa0mnDj0bs_15_20.avi,7
