video_id,sen_id,caption
video1190,108809,an assortment of colorful lamborghini s on a rally turning into a parking lot
video1191,72191,a video game involving cars is played
video1192,136297,a person is speaking about something in the industry
video1193,46003,a man is demonstrating a product
video1194,21427,a man is wearing a hat
video1195,14045,a puppy backing away from camera
video1196,23389,sponge bob is taking his revenge and able to move on
video1197,127017,the news says that the economic crisis is making people to end their life
video1198,71185,a man is standing outside of a car speaking spanish
video1199,138896,some one is preparing some food in a yellow color pan with the help of sugar and other eatable
video12,47542,a man is talking clark kent aka superman
video120,57045,a person expaining about a car
video1200,61253,players battle in the video game
video1201,126717,buddah statue in a smokey room with shimmering lights
video1202,26604,a group of people are doing a choreographed dance
video1203,45829,a person gives a demonstration of a three-wheeled stroller
video1204,42003,a little girl is having her hair fixed on the voice
video1205,122007,a chef works on a chicken a sauce reipe in a small wok pan
video1206,57703,a man is demonstrating how to draw squidward
video1207,103162,the man in the apron cooks the large meat patties on a grill
video1208,31663,a man narrates and plays a video game simultaneously
video1209,35760,a foreign film a man and a woman stand by a lake and have a discussion
video121,116383,a tiger goes to catch a ox while other oxes coming to rescue the ox
video1210,125893,a person is constructing something by drilling holes in and cutting wood
video1211,79258,two people are doing a video on whose shoots a gun the fastest
video1212,14687,a man is talking about reality shows
video1213,138254,some one is telling how to prepare veg rolls
video1214,9328,a kid describes the innards of a toy
video1215,56578,video showing a hockey player scoring a goal
video1216,48721,a woman addresses a crowd while on stage
video1217,426,a man talks about a woman in a series of still shots showing her beauty
video1218,125392,this is an extremely intense and awesome table tennis volley
video1219,92305,a video of different foods
video122,56123,a powerpoint presentation going by
video1220,16354,someone is describing the resolution of a computer screen
video1221,109245,photographs of a person wearing black sunglasses and same person without eyeglasses are shown
video1222,63838,people view the car collection
video1223,29229,a woman sings and talks to the camera
video1224,125538,a man and a woman singing outside in nature
video1225,99535,a man giving information about the tigers in the jungle
video1226,120452,a man wearing a blue shirt that images of flashing lengths on objects
video1227,47707,a man is sitting and playing guitar
video1228,14725,a man is smiling
video1229,118042,a young man in a grey t-shirt and red framed sunglasses tries to convince a young woman with long hair to show her cleavage on camera
video123,139512,the chef is explaining  about the filtering of the tea or cofee
video1230,139630,the earth moving show to participate the round stone and rolled
video1231,22194,still frame photos of people standing around in black and white
video1232,46140,a man gathers sticks along the river
video1233,130491,a womans voice is describing that she needs to plot data on a computer
video1234,121412,black haired woman is singing a song with blonde woman
video1235,8711,legos are animated and put to life
video1236,71532,its a animated car video game
video1237,47146,a man talking about itunes program
video1238,88154,late night talk show scene
video1239,47765,a narrator explains how many pus cells are contained in a glass of milk
video124,95119,two men talk to each other in a drive thru dubbed over by children
video1240,57436,man speaking talking about fruits
video1241,35968,penalty shot in a soccer match
video1242,97837,two cats are playing together with a small green ball
video1243,15448,a man playing the piano
video1244,56255,people are in a scary situation
video1245,40306,a woman is narrating an educational commercial
video1246,125695,the tech bet news caster discusses the apple watch wouldn t arrive in time for the holidays
video1247,35342,a male soccer game
video1248,122578,a man sits watching a tv while wiping tears away
video1249,91455,scenes from a sports game
video125,63975,person shows off some chargers
video1250,26287,a show host talks about a contestant from american idol on dancing with the stars
video1251,54805,a man is kneeling on the floor
video1252,17293,basketball players release time is compared on a sports program
video1253,111850,in alcatel - lucent a vip is describing its packaging function   the room is equipped with modern accessories
video1254,6409,animated blocks take part in a race
video1255,42120,a german trailer for a horror movie
video1256,89341,a leopard chases an antelope
video1257,22782,a model is walking on the runway
video1258,37053,people are laughing on a game show
video1259,27164,a man discusses a movie with his friends in his room
video126,28393,some models are walking down a runway
video1260,20616,this is a clip from a concert
video1261,90293,the person is arresting two other persons
video1262,31821,a man is speaking as he plays a video game
video1263,128759,colorful blue background scrolling instructions for banner mobility intructional tool
video1264,58849,a person driving a car
video1265,48519,a woman is baking vegetable in a pan
video1266,98371,a ma nin green polo stands on drive way of front yard and sits down in driver seat of sports car
video1267,116970,a european union based interview is given on the subject of the euro
video1268,129500,there is a white shirt man is talking from a store
video1269,139192,a man is in bed with a woman and music plays
video127,54613,soldier getting on a plane then footage of paratroopers
video1270,124828,a colourful vegetable  dish is  being cooked in a  wide black pan
video1271,106988,monkeys put face in camera and climb fence
video1272,8505,a boy in swim trunks doing a back tuck on a trampoline
video1273,120117,a group of japanese women in cute outfits go walking together on the sidewalks
video1274,59495,people have a business discussion
video1275,103685,train track more peoples are walking\
video1276,127826,a man in the white shirt  seated inside a car having  conversation
video1277,59009,a scene of threatening  in a tv show
video1278,126744,the womna is fighting with the men in coat in the room
video1279,10190,a short clip taken from a music video of a man playing the guitar and singing
video128,89873,horror film monsters fight
video1280,100218,in this excerpt from tom gear one gentleman stands on top of a car and speaks to the assembled group
video1281,59953,men and women are talking
video1282,92578,a robot bringing food to people
video1283,64608,a man is talking about a cat
video1284,123533,a woman tries in vain to wake a man who appears to be dying
video1285,46854,bill murray talks on david letterman
video1286,12737,people walk down a hallway while a teacher grades papers
video1287,105380,there is a man in black is training his students
video1288,27784,a group of people excited to sing about jesus
video1289,67517,soldiers are preparing for fighting
video129,43459,a man is in a boat
video1290,55675,pictures of the consequences of heroine
video1291,137422,a male individual is giving a tutorial with a visual of his hands on something using string
video1292,30769,a young man holding a gun is yelling at another young man holding a guitar
video1293,90955,someone playing a video game
video1294,52500,a lady is
video1295,35391,its a soccer game show
video1296,76361,a cartoon of various types of people
video1297,106733,two men battle rapin front of a crowd
video1298,114307,the man in the blue shirt talks on his cell phone
video1299,9830,a man is showing off some dance steps
video13,80649,abraham lincoln and johnny appleseed parody clip
video130,36454,someone is playing a game
video1300,50282,a man slowly pulls off a piece of cheesey bread from a loaf
video1301,8142,a cartoon character is talking
video1302,11812,person playing a game
video1303,116767, rocker chicks talking about hair and clothing to someone unseen in the video
video1304,83274,men dressed in old british sailor attire are talking in this clip from pirates of the caribbean
video1305,89254,it is the part of targeted game
video1306,49353,two children are playing fooseball
video1307,64958,toy dolls are playng house
video1308,76909,a cartoon super-hero speaks to a farmer
video1309,16504,a man films the inside and outside of a car
video131,132246,a person legs with shoes a lake and a person seeing it through telescope
video1310,78826,advertising video about the  his business
video1311,68944,a teen girl audtions for the voice kids
video1312,67314,a woman sits on the des
video1313,72856,guys eating at a table
video1314,139534,react channel videos
video1315,80129,a man is awkwardly dancing in front of a crowd
video1316,9170,a young boy stoops down to look at an old man
video1317,9241,a man commentates as he plays a wrestling video game
video1318,50092,someone is demonstrating a plastic bell pepper that is part of a fake food set
video1319,118078,a cartoon dolls sword holding  a person in hand waving hand running in horse displaying on screen
video132,103561,there is a woman is walking through the street
video1320,40765,a woman handling a baby carriage
video1321,5731,a man speaks to a woman for an interview
video1322,94486,a waitress is bringing the men drinks
video1323,70062,a figure of an animal is falling in slow motion
video1324,42319,someone playing with dolls to act out a daily event
video1325,119570,the narrator talks about the movie raiders of the lost ark while the movie shows on the screen
video1326,41366,girls are playing a question and answer game
video1327,90871,they are playing foot ball
video1328,131488,a man is explain about a size of the tennis groung
video1329,17139,sports highlights are displayed
video133,96731,a little boy in blue color dress wearing cloth playing with toys speaking  displaying on screen
video1330,138817,a man and woman on a tv show talk about calling a girl
video1331,55601,a man discusses comments people have left for him
video1332,120732,a group of young men play instruments and sing a song in a set that looks like a living room
video1333,88217,two men discuss how people are all unique
video1334,18743,a man talks about his basketball playing past
video1335,57194,a man talking about technology
video1336,44600,a man is shooting
video1337,49034,woman sports persons are lifting weight
video1338,105222,there is a woman is posing on the floor
video1339,102682,there is a old man laying down on the shore
video134,13958,a women is advertising about a bag product
video1340,53685,every tv is displaying every visuals
video1341,100398,a man discusses what comes to mind when something thinks of spain
video1342,38371,photos of footballers set to music
video1343,101983,a newscaster in a white shirt and tie is discussing a company
video1344,35670,a man stands beside a car and speaks in a foreign language
video1345,37724,a woman gives a talk to a crowd about sex and marriage
video1346,133085,a flat and grey block with darker splotches is divided into a grid and can be molded electronically into humps or highlighted with silver circles
video1347,95232,men are playing sports
video1348,125735,person is putting a cd and preparing to play a game
video1349,3979,the carriage could be easily broken down
video135,28792,mothers are clapping for children
video1350,115982,a person is preparing a soup and tasting with a spoon
video1351,22160,a black and white video of a boat with people looking hopefully towards a flag of israel
video1352,69836,a young girl sings on a tv show
video1353,117627,a drip of something falls to the floor and glows
video1354,35428,audio commentary of falcons football  play
video1355,137692,the animated characters are dancing singing and flying with lot of energy
video1356,97208,three formula one cars racing with one and other in the air pin bends
video1357,99417,a person is adding eye shadow to their right eye with a makeup brush
video1358,50724,a person playing pokemon the video game
video1359,3885,a soccor player is injured on the field and receives help from medic
video136,115727,on a green field a huge group of people run up a hill
video1360,96049,a man speech something with comedy
video1361,655,cartoon hand with elephants on them
video1362,22449,a man sticks his head out a car window
video1363,31008,a person narrates his video game playing
video1364,109296,a lady is showing off a portuguese chicken dish and talking about it
video1365,44733,two players are fighting in game
video1366,30961,a man does bike tricks
video1367,9963, is preparing work on paper at a desk
video1368,78537,someone is playing a video game
video1369,33025,a man participates in a parade in his honor
video137,124402,a woman disussing a machine and the features of it
video1370,116270,a very emotional and touching moment between two lovers at a busy crossroad
video1371,71912,cartoon racers cross the finish line in cars
video1372,37642,a gossip newscaster talks about the voice
video1373,40175,a young woman sings on a stage
video1374,121881,there is  someone packing tyres to export
video1375,112122,a beautiful scenery of mountains and lakes taken out by the tourister while travelling by their car
video1376,22947,all the persons talking about peace
video1377,81442,a group of men having a meeting
video1378,125814,placing eggs in tupperwear and oat meal in blue tupperwear bowl
video1379,16936,sports science of someone hitting balls
video138,55069,a person is showing a clip from playing a video game
video1380,127245,the men is telling the feature of the new holly wood movie specialty
video1381,51215,the soccer players make perfect aims for goals on their teams
video1382,25209,a man with a bionic eye
video1383,19529,a man is singing to a large audience at an outdoor concert
video1384,52858,woman talking about being a mom
video1385,53754,picture slideshow set to when a man loves a woman
video1386,100168,a woman is using a rolling pin to roll out dough
video1387,28614,someone is talking about why she is annoyed
video1388,114521,there is a man playing with a table tennis bat
video1389,109543,a woman marinates chicken in a bowl with red sauce
video139,33549,kids are posing for a picture and being interviewed
video1390,40371,a woman playing with a video game horse
video1391,102070,chef stirring vegetables cooking on stove
video1392,99860,a lady is putting marinated shrimps in a pan with oil for cooking
video1393,87629,a woman is talking about the exercise to an a man
video1394,39771,a woman is jumping
video1395,60830,a man snorts something off a table with a straw
video1396,128712,a man explains what his company is and where it is located
video1397,83845,a woman talking on talkshow
video1398,59179,two people discuss a recipe blog
video1399,127163,an old man is going to cook a fish dish
video14,6787,a movie trailer shows some scenes from a movie
video140,140187,two enlisted men talk outside of a building
video1400,80635,an alien coming out of a man s stomach
video1401,135048,an old man is showing his collections of pictures and is looking very happy
video1402,92479,various energy drinks are compared and ranked
video1403,110653,images of apples and a shoreline are shown while jazz music plays
video1404,105282,there is a tshirt boy is talking with someone
video1405,22261,a clip from sister sister
video1406,59772,a man talking about diamonds and whiskey
video1407,106095,girl and boy dancing in black color dress cloth sitting on sofa displaying on screen
video1408,35607,football highlights are being talked about
video1409,77733,it is a animated video
video141,130053,black haired woman is dancing on the open scene
video1410,45577,someone is doing something on a paper
video1411,63803,a man and a woman spending time together in various different environment
video1412,5688,a man is giving a talk on stage for an audience
video1413,36771,in a video game the player drives a lego vehicle in a jurassic park world
video1414,28945,baby dolls are sitting at a table while a voice plays them
video1415,19617,vocaloid performance with band on a ship
video1416,24852,animated cartoon of politics
video1417,20546,a guy singing a song
video1418,50918,images of men talking to their women and families
video1419,42678,it is about a film
video142,35048,someone giving demo for some game and talking about that
video1420,19326,a boy sings on stage in front of judges and audience
video1421,15236,someone is playing a game
video1422,75898,cartoon characters are interacting
video1423,107014,the small monkeys are looking for food in the grass
video1424,52006,a wrestling montage set to electronic music
video1425,39457,a girl is playing a game
video1426,55939,on a tv show a person dressed in a costume is being interviewed
video1427,33406,a woman is showing how to cook
video1428,127060,a black man is in a room with white brick walls and a white railing on his left he is in a blue/gray shirt
video1429,912,several men speak to each other for an interview
video143,84434,a woman shows how to fix your hair
video1430,46341,a person folding paper
video1431,49888,two girls talking about the sunrise this morning
video1432,70438,the reporter tells the story of a police chase
video1433,42424,a man is standing
video1434,20894,two sample videos are shown to get people to click on them
video1435,2203,a minecraft villager comments how they don t all look the same
video1436,29450,multiple females appear in a music video for a female rapper
video1437,83862,a dog is swimming a pool with another dog
video1438,49933,two people are wrestling
video1439,136863,an actor begins walking down a hallway he loses gravity and then does a air spin as he continues on his walk
video144,28171,sumo training in a dojo
video1440,26844,a person folding green paper
video1441,58495,man describes how their top ten works
video1442,76036,cartoon characters are performing various actions
video1443,11218,two dogs are talking
video1444,119988,a lady shows how to make up the eyes and cheek
video1445,47799,a woman holds two bags
video1446,128342,a person wearing a black coat running near a plane crash
video1447,3149,animals are running in the savannah
video1448,129792,marco rubio and carly fiorina are talking about answering questions for three hours
video1449,95777,the man was very comical
video145,28745,a woman is giving demo for baby trolley
video1450,87336,this is a music video that looks like a  preview
video1451,105084,a man wearing a black t-shirt stands behind a table with laptop on it while he speaks
video1452,30756,two men fight in a comedic skit
video1453,44572,someone is giving an origami tutorial
video1454,41247,girls talking with each other
video1455,42215,pet tegu lizard recommendations
video1456,129400,a woman in a checkered shirt is in a kitchen crisping chicken
video1457,50112,robin williams talks to david letterman on the late show
video1458,52342,a man is fixing a broken engine
video1459,34344,a man is speaking on stage
video146,54416,two lego objects are shown having sexual intercourse
video1460,43042,a man and woman holding hands walking down the street
video1461,22088,a little girl is reading a book to two boys
video1462,65435,young people are commenting on the cartoon doug
video1463,65409,pictures of transportation methods are shown
video1464,31345,a man is riding a motorcycle down a tiny street
video1465,19195,live music show is going on
video1466,61742,a main is explaining a cat life
video1467,60157,two animated man s are fighting with each other
video1468,94391,a person showing you where the gasket goes on a device
video1469,135209,a man speaking foreign language making meat in a cup and feeding it to a boy
video147,60282,a woman demonstrating how to cook a dish
video1470,87411,hillary clinton gives a speech
video1471,106117,a young woman shows how to do eye makeup
video1472,6229,spongebob and squidward are inside dancing
video1473,87281,a female minecraft player giggles while exploring an in-game area
video1474,121638,some indian people are walking inside a room
video1475,11397,a film clip going on a screen
video1476,84948,a woman speaks to the bird on her shoulder
video1477,76550,an animated version of a pre-recorded video
video1478,2481,2 cartoon characters talking
video1479,45442,a person is filling a cup with candy
video148,7763,a scene from a video game
video1480,99244,a man practices the long jump on an indoor tracdk
video1481,121570,bath room with white bath tub and ca-mode
video1482,68548,an anime of a man serving people ramen
video1483,56830,guy measures metal piece
video1484,53115,soldiers are shooting guns
video1485,11577,a woman is posing and smiling
video1486,79973,people are sitting on a beach talking
video1487,84519,woman talking about a bag
video1488,127418,a male chef is dumping onions into a big red pot
video1489,64759,a lady serving a dish and explaining
video149,71443,a man drive a car
video1490,65617,a restaurant employee gives some thoughts
video1491,63502,a clip of a finishing fatality move is shown in the mortal kombat video game
video1492,14202,a cartoon house on the tv
video1493,87974,scene from a video game
video1494,25049,a person playing with a cute parrot
video1495,72443,a man and woman sing in a church
video1496,104597,an asian woman discusses what today s fashion looks like
video1497,135682,a tree with yellow flowers is waving in the wind
video1498,30322,a song is recorded in the studio
video1499,40063,a woman looks at a piece of paper
video15,125553,a computer of graphic design a  lady in black color dress standing displaying on screen
video150,127633,a cgi video shows a cheetah running along the ground
video1500,52980,a kid is drawing
video1501,2136,the spongebob crew helps teaches the alphabets in song
video1502,57692,paramedic demonstrating procedure on a dalmatian dummy
video1503,52621,a woman discusses what appears to be beauty in a foreign language
video1504,130597,3 fishes in aquarium one golden and other white
video1505,135383,a woman has a big lump on the side of her face
video1506,5960,a band and a woman star in a music video
video1507,91705,a woman in rollers yells at her friends in a shop
video1508,14509,a man and woman walk down the street
video1509,98215,a fashion dress design a girl wearing fashion dress  dressing walking on stage audience watching  displaying on screen
video151,122189,a dinner party with dance for the winning the award of director of romeo + juliet moulin rovge
video1510,139081,a man in a black shirt and black car drive slowly to show off the tires
video1511,14702,a man is playing in the ground
video1512,109625,three man are cooking in the kitchen
video1513,6061,a cartoon involving animals
video1514,44516,the person playing with paper
video1515,22768,a woman is talking
video1516,68706,a kid typing on their tablet
video1517,109815,woman with hat is eating her breakfast in a room
video1518,135446,a guy talking about when he came home from germany and that he was sharing photos with his family
video1519,72894,eggs processing industry documentary
video152,23716,the soldier runs into gunfire
video1520,14389,a man is installing pipe
video1521,31700,a guy performs on the voice
video1522,31945,a man throws a three-pointer in basketball
video1523,13475,scene from a tv show
video1524,13910,cartoon clip with funny characters around
video1525,46890,gamers play video games on a split screen
video1526,54599,two kids are playing with things here
video1527,26052,little kids talking about a phone
video1528,117396,a man and a  bowl  pouring dish inside kitchen to prepare to serve to eat displaying on screen
video1529,128544,a man is talking with a girl who is lying on the bed
video153,120834,a man boiling water and adding meat to the pot
video1530,100052,a bowl on counter has small pieces of cut up beef that man shows
video1531,57762,a man gives a presentation
video1532,71031,red color car advertisement
video1533,4339,girl tells you materials you need for an experiment
video1534,24537,they all had long beards
video1535,15080,a boy is playing in a yard
video1536,130574,two ping pong player playing a very serious game without giving any chance to each other
video1537,101695,a woman with heavy blue eye shadow is putting on eyeliner
video1538,33151,kids music video about the ocean
video1539,62640,a character punches another character in the face and runs
video154,75182,a cartoon show for kids
video1540,68933,a young man talking about children s toys
video1541,121073,in side the class room of the school every one is cheerful
video1542,14670,people are playing soccer and a man blows a whistle
video1543,103846,a man holding a ping racket and bouncing the ball on the handle
video1544,14922,a clip from a movie is playing
video1545,97399,the badminton teams battle each other on the  court to find out which team is best
video1546,38474,teenagers are talking looking at a laptop while videos of different actors are shown
video1547,42290,a woman walks along a pier into a boat
video1548,139289,two little kids hiding behind something and talking slowly
video1549,60740,a man begins folding a piece of origami
video155,130552,two men fight and talk then kick people in the face
video1550,118914,a promotional trailer of attractions in vietnam and cambodia being shown to the tourists
video1551,104646,motorcyclists drive in between traffic on the freeway and one of them crashes into a semi
video1552,116135,a man in black t-shirt is decorating his friend face
video1553,109463,a woman with long hair is singing a song
video1554,55303,a man is singing
video1555,40093,a woman talks to a camera
video1556,16062,a man showing some crafts
video1557,1486,a person is playing a shooting game
video1558,1094,a woman wearing a star wars t-shirt is talking to the camera
video1559,101745,people are seen dancing and singing to the beats of a singer we can even a lady dancing and giving a sexy pose
video156,35139,two men talking on the phone with one another
video1560,109618,a person is explaining about street cafe in a blue colour board
video1561,102917,promoting a sex chat phone line or something similar
